	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
RBM28	1.5909528047035102	1.4562207486502998	1.42728619837159	1.75529618404824	1.28085943619346	1.32902622925272	0.8853275218219531	1.06318029709523	1.19097751230045	1.18591968612988
RBM3	6.763149649982459	6.1922622909701595	7.19006571439964	4.93245064495674	4.86028956078803	5.77370572624575	6.792772469880281	6.0271077178793	5.68057296734686	6.08341031197093
RBM33	2.15402802154714	2.7521357243747206	2.1045656792345904	2.69296272740306	2.192169087539	2.64864890727954	1.6772619229349102	1.99613735148446	2.51314767951529	2.09076352456261
RBM34	0.325285508116935	0.459663619892151	1.1633595965693	0.600216706694952	0.7208703251139909	0.6486137858222739	0.5636356358302049	0.593527611664889	0.556133732445504	0.383159445726334
RBM38	3.8068311807163	5.06637356424961	4.63383043585835	4.79533762199642	4.68560567005753	5.1974430195901204	4.9792276107154105	5.28438295849575	5.12917258435522	3.8003617717669
RBM39	4.52262301964671	4.08427759142834	3.9988995862592	4.48418629590018	5.25085230519897	4.171324783118109	3.8330096629362203	3.6337554410553397	4.02645053245695	3.8138240260816003
RBM4	1.34272336802892	1.04156579502452	1.08806877133991	2.01732185916292	2.13507884731888	1.51642770503801	2.04780892445578	1.7812447040022599	1.68515400917552	1.7465974859924098
RBM41	1.1309972594218	0.528809666429239	1.0644662906473399	1.26484146851886	1.2538262992126799	1.23511864481303	1.35206573192804	1.21504497881012	1.4536663894775501	1.1066965854439599
RBM42	5.47193172998165	6.0209550527564595	5.461567169091199	5.89010607789886	5.54533617334163	5.10162932091666	4.92321586674878	5.00401624659456	5.08990519034578	5.32911284711119
RBM43	0.769545502676209	0.22681005565212198	0.8409473672864141	1.48265770045122	1.5592150959306201	0.934893791985944	2.02143353642071	2.06335840677624	1.21822656598288	0.921641757000159
RBM45	1.69192515500236	1.2653902897073601	1.37615191221166	0.944293385426053	1.66536754294227	1.4353636234607101	1.5754290286014199	1.5206766216682601	1.5968995310974898	1.62428747496533
RBM47	3.76050455763764	4.45059093933626	3.7382495273339904	3.2664765739330397	3.64731733210238	5.5291331037294995	4.54480561870827	4.91366426068702	5.32023837331003	6.17544086877709
RBM48	1.64626273044535	1.05195744219524	1.62982588968155	2.63839311418857	2.18248101567976	1.47017651069696	2.02933094167878	1.9161559560746797	1.70791567173073	1.42277301222047
RBM4B	1.7598912815391103	2.7525430380425098	1.82765391668914	1.94267780207968	2.26103041497735	2.0360835013784	2.11485668128133	2.3943423099361003	2.29822845876056	1.98216250818432
RBM5	2.83642312760378	3.12503624719473	2.72961342500975	2.40331394280258	3.01318521618621	3.2242616961751698	2.5795745673426	2.9390730827610296	3.13745637157584	2.7869036625322203
RBM6	2.80284057415129	2.5432333347614597	2.6560137069912497	2.69905817386562	3.0370060279902202	3.57171065749623	2.3816689332121403	2.6428906762913598	3.4975653024493303	2.7186010728416496
RBM7	2.21725159928389	1.3483367339643602	1.5273533909589898	2.58297113351688	2.7027066920167595	2.13290353476539	2.8198200556718795	2.3912851165468503	2.1023158960518	2.6251760121538
RBM8A	4.23340596785831	3.79975864553281	3.77234809022479	3.95493838757887	4.3538717066536	3.77384416410491	4.018651248602	3.87151468879323	4.02846225088735	4.06238816507402
RBMS1	1.2024027837816	0.355279255823142	1.52152169762788	1.43855392731372	2.53100387086598	1.3010135860277499	2.45122126213941	2.53827710428749	1.36467917919893	1.30602387798246
RBMS2	1.95280969575165	2.29673446275241	2.65829803251998	2.51578722133483	3.27377686290757	2.78000509644169	2.23294882136784	2.68301430842393	2.6950881467770396	2.6009759920951803
RBMS3	0.465029925865673	0.0597998377616477	0.6199319627378901	0.34090179357885697	0.256954854616887	0.5689196831035419	1.25829938890091	1.7296630619899398	0.6433638402072239	0.6370998613343299
RBMX	5.00107571058774	5.324044885691481	4.67166039369142	4.9599209716106305	5.16747711717789	4.397427558113439	4.74251253880466	4.77463730093353	4.6835354340271795	4.570816317184599
RBMX2	3.38222872564105	2.8873734696725295	3.38273153357315	4.20393144963775	3.2854328437717197	2.6472898923073904	3.20736827746472	3.13752535778413	2.7305493578376603	2.5517343508800097
RBMXL1	1.87400504515892	1.11265861060453	1.44226425986824	1.76219692211492	1.4612283923865699	1.7683147727081698	2.4400477578468798	2.40164569339362	1.99728975078271	2.43182120408434
RBP1	4.502246333484139	1.8623500247218001	5.383322220324381	1.65242200345027	5.65719960191792	1.10826316405949	2.1051378326446297	2.2398663654596698	1.5104504585382101	1.00220856785334
RBP2	4.9791202349954	1.25236935366143	1.81128888820291	3.36178752383722	2.69820261756545	1.46661552655411	0.43529216004297494	1.19636114629705	1.33288827120176	0.7979405996388149
RBP4	3.24982536657694	3.8227079125915404	6.1823442212808395	2.15143502819745	1.92031405322595	2.30816292141054	2.38609649667179	1.56953017606893	3.13177195303525	1.06977863901762
RBP5	1.14672469397555	1.87433443690032	2.29380305166547	1.69421791173787	1.23261717293313	2.3825558041905	2.7648672377923798	2.3975418014855	3.0625539869685094	2.36465463052546
RBP7	1.3926673276640298	0.22598989208239398	2.30470806754227	0.974994644751462	0.7475714265559691	1.28345818141031	2.4348042535211	3.42384075809092	1.3696134777936297	0.7223811817141921
RBPJ	2.58980480239921	1.4477684050947401	2.5426219374119703	2.9494766874857796	3.24397891696755	2.6869378867837406	3.3802831023327498	3.6869384357284902	3.11041380867827	2.8402368388004904
